component,MAPE,MAE,actual_mean_sales,predicted_mean_sales
store_7_item_41,47.63419155929679,4.742576216096152,12.0,12.775775645083684
store_7_item_5,44.638173630596064,4.3382499475862195,11.033333333333333,10.270454022512405
store_7_item_47,41.17293380729442,4.359236595452648,12.7,12.629282372618288
store_5_item_27,41.011741150061006,3.941471803706348,14.366666666666667,14.927151005894409
store_7_item_4,40.47863301566146,4.313838342051308,12.233333333333333,12.055742707881665
store_7_item_27,39.17540198752313,4.0898051710289005,11.7,12.041398853328634
store_5_item_41,38.85582201659118,4.255008136641086,13.766666666666667,13.23315505168466
store_5_item_1,38.34795840016663,4.918481765054697,15.066666666666666,14.673911168560362
store_5_item_16,38.2117703220174,4.636335440143209,16.3,16.867024909284353
store_5_item_37,37.8804999165247,6.10709559685218,17.333333333333332,18.852887209775343
store_6_item_41,34.75001371981076,4.298992698852047,13.666666666666666,13.580183021184064
store_1_item_5,34.35158093430907,4.012974314627864,14.1,13.750914971206889
store_7_item_34,33.88015139433566,4.690460161164331,14.633333333333333,14.80679673416912
store_7_item_37,33.480391828301016,5.005713165231744,17.2,17.197487988483978
store_7_item_17,33.18517513694065,6.05516438878147,19.633333333333333,20.154149145004567
store_7_item_21,32.778064864274306,6.142240425640188,23.366666666666667,24.951537310654544
store_6_item_27,32.7391987837838,4.339541799806399,14.033333333333333,13.719323747664246
store_7_item_1,32.726856922494804,4.052436825619191,12.966666666666667,12.316874940727526
store_7_item_3,32.47421564661245,6.673000069052151,22.2,21.690799258046592
store_7_item_23,32.42087234796746,4.6879019154947015,16.2,16.36307350211396
store_6_item_4,32.30574363131554,4.210683544094914,14.066666666666666,13.763772414500105
store_6_item_21,32.222931942694274,7.460354681471503,25.166666666666668,25.641629207456464
store_4_item_5,32.19307954463931,5.194225367446998,16.633333333333333,16.99972143288475
store_8_item_27,32.03987051256263,6.191433510779889,22.266666666666666,24.50846438164172
store_6_item_1,32.01128025652663,3.7419656258141503,13.733333333333333,14.383420315737562
store_1_item_16,31.97183418416928,5.697948242063879,19.833333333333332,18.902677640248896
store_5_item_4,31.50789855416613,4.330839993005217,14.7,15.192977472673967
store_5_item_23,31.430994315428652,5.006603906309455,19.033333333333335,19.45385798538464
store_5_item_47,31.309083652781855,4.543497588880518,15.033333333333333,13.950784660706917
store_1_item_1,31.236440057538132,4.384168842412646,17.133333333333333,16.224094515070743
store_2_item_4,31.160978274917543,7.2002632186043005,24.7,22.174654032374846
store_6_item_5,30.837452473448458,3.369770832155878,12.466666666666667,11.361826835913433
store_5_item_34,30.5772941298738,4.187614862996366,16.066666666666666,16.625517730470776
store_1_item_4,30.541239631275968,4.519639575720587,15.8,17.971904140744964
store_1_item_17,30.316216824925903,6.8607443082718484,25.4,23.826540157141146
store_9_item_27,30.31410041487016,5.65865331339015,19.866666666666667,19.741888561580016
store_1_item_41,30.054326890795945,5.303883038318146,17.633333333333333,15.858131498356252
store_8_item_41,29.951477436670988,6.694109780546421,23.466666666666665,23.473436729131684
store_4_item_1,29.739355345977796,5.862893624864997,20.633333333333333,19.027734800190146
store_9_item_5,29.418013754388316,4.265222546290131,16.866666666666667,16.45828906214007
store_7_item_39,29.35093430720312,6.188057922008382,24.9,25.29444280767368
store_9_item_41,29.249948948593733,4.791237598229588,18.7,18.06259030415793
store_8_item_1,29.1071815881264,6.865714783828038,23.266666666666666,23.34135656483163
store_9_item_49,29.022677891401848,6.623778957103246,26.0,27.33645630068741
store_5_item_9,28.56048344464445,8.234092204097527,32.56666666666667,33.75246109960623
store_6_item_34,28.54691024119743,4.1753982101687885,16.266666666666666,17.123720729432705
store_5_item_44,28.434113488634576,4.60794006135329,17.533333333333335,20.091555009914327
store_6_item_23,28.208520445551656,5.2026204629433686,19.866666666666667,18.38348720215168
store_2_item_5,28.20350570980054,5.556343128657938,20.6,19.911293182748842
store_4_item_4,28.07184173645036,5.795220364670243,21.433333333333334,19.694846630638647
store_6_item_3,28.027610164483775,6.294088879148906,24.533333333333335,23.28373242937726
store_6_item_49,27.897109695471972,4.587510587679983,18.566666666666666,18.824346872523435
store_10_item_49,27.870543493577614,6.719213178506893,26.066666666666666,25.800979014417404
store_5_item_5,27.851056798158847,3.383743668443064,12.9,12.174312958926205
store_9_item_17,27.82375508004827,7.525038453854643,28.933333333333334,29.42897991634158
store_6_item_2,27.799478940842093,9.693042102922927,37.6,37.307051222681594
store_2_item_1,27.67571321936148,5.4708444516694605,22.3,23.447063547478038
store_8_item_5,27.466864229426925,5.493888302127529,20.433333333333334,19.158884521057292
store_7_item_16,27.4654719824419,3.8758362728955538,15.466666666666667,14.57486816915871
store_7_item_40,27.386745318249524,4.616774854750359,17.3,16.743482930931183
store_7_item_42,27.3807488759628,6.058914854648515,22.9,22.164779319718036
store_10_item_1,27.310694555981335,5.348274237289326,20.033333333333335,20.402287899700294
store_4_item_37,27.233272659040512,6.796590360894701,26.5,25.682679344824425
store_9_item_37,27.197499167976417,6.919032295075317,27.066666666666666,24.65107252105413
store_5_item_17,27.043370739551854,5.1595248197206764,20.9,22.2913886300519
store_1_item_42,26.973078674490857,6.506377934055825,25.666666666666668,29.57841283601584
store_1_item_37,26.858292991730853,5.389608436706211,22.166666666666668,21.049734894162686
store_3_item_37,26.849318245132984,7.255778769198432,28.2,27.419684055797273
store_2_item_40,26.688221459946,7.073084818791128,31.233333333333334,31.737043174682594
store_8_item_49,26.618685408326577,7.67797760521999,29.933333333333334,31.15969043997738
store_7_item_48,26.595880338063083,7.756631545585079,30.533333333333335,29.52623100785961
store_7_item_20,26.438727344675094,7.148275780147434,28.1,29.170433088548414
store_3_item_27,26.313655138719533,5.288306428012527,21.366666666666667,21.176410373019724
store_2_item_37,26.204824939664896,7.998864564939964,32.166666666666664,31.708593608061005
store_4_item_16,26.16468449894514,4.7920344421848995,22.166666666666668,23.220224910198453
store_10_item_44,26.093705074054512,6.635225321384667,27.233333333333334,27.327934603968956
store_3_item_40,26.082861460856137,6.839032411917974,28.5,30.614289053380233
store_7_item_49,26.0562263174615,3.734643632628157,17.6,17.55967851706386
store_10_item_47,25.701484896496552,4.814287775394034,20.166666666666668,19.593823189876378
store_3_item_5,25.650276184958017,4.705840177085576,19.666666666666668,19.22793827456588
store_6_item_44,25.647044947354246,4.23351771371009,19.1,18.842030541440476
store_7_item_2,25.634214945252214,7.813373196737342,34.333333333333336,36.569649155601255
store_1_item_34,25.576871008405668,4.804366250833697,21.033333333333335,20.316996434704716
store_3_item_34,25.369502715555814,5.359753384944805,24.833333333333332,26.30560007806272
store_3_item_4,25.299493763662532,5.0951089455847995,21.3,19.58118076581841
store_3_item_41,25.28370590683628,5.02287615868108,20.7,20.924468807631577
store_6_item_20,25.255918650820142,7.286560716353191,32.0,32.53554011437839
store_5_item_30,25.05529955419294,6.197831560885559,25.466666666666665,25.98921947007099
store_6_item_32,25.038212068171227,6.969552386078529,27.7,27.086373622958025
store_5_item_40,25.018229535595278,4.437081175754754,18.1,17.265930031825715
store_8_item_23,24.98225492051895,7.561980640834563,31.7,29.09769015111085
store_3_item_1,24.96885327610677,5.577090111419971,23.0,20.99481425145696
store_7_item_43,24.94402356037377,7.483174692515615,30.9,28.20675226727088
store_6_item_17,24.826983862094856,5.414575768467457,23.0,20.409133451318507
store_3_item_3,24.626423721584054,8.786966312526658,36.53333333333333,34.396129450906855
store_7_item_19,24.570777863487123,5.553053849119622,23.733333333333334,23.771176583622047
store_1_item_47,24.564846802451186,3.855395041372769,16.3,16.272697863616948
store_3_item_23,24.512566069510513,7.129081622727744,28.833333333333332,26.406395850510375
store_8_item_34,24.461993582523064,6.9252698028561115,28.633333333333333,26.730936297034443
store_8_item_47,24.44133567067664,5.367691207822092,23.3,22.35788040511392
store_5_item_14,24.4075380404186,9.009104826268707,38.56666666666667,37.39622284031612
store_5_item_42,24.381732490719592,6.290728547098367,25.1,20.50991294121038
store_4_item_44,24.323712413528,6.073443747222081,27.066666666666666,26.429258478082776
store_6_item_11,24.220416297606953,10.652891430844273,45.13333333333333,47.98040060162449
store_6_item_37,24.218826728145796,4.8074056208083356,20.366666666666667,19.376319596998048
store_1_item_44,24.141602944112748,5.42992284014602,23.133333333333333,22.676980102506135
store_5_item_31,24.11559717376237,8.496130452548687,38.266666666666666,38.30904739905126
store_5_item_2,24.10750293463541,9.560077609022908,39.53333333333333,37.21873221025098
store_1_item_26,24.101899986994386,8.997740432062232,37.5,33.960133360197524
store_5_item_43,24.04241367413438,7.307708012449493,34.43333333333333,35.56767560277192
store_4_item_27,24.00654573804942,4.474431182955608,19.333333333333332,19.54423682243142
store_7_item_30,23.961001182022514,5.362273019482696,23.3,22.5016958438341
store_1_item_49,23.958937258077604,5.728609918125992,23.566666666666666,20.798325796705743
store_2_item_34,23.951875326416555,6.379233778580783,29.9,28.550850160077825
store_5_item_21,23.76438531580358,6.04308253543546,25.5,23.715087539609684
store_9_item_1,23.761318466338697,4.371734304436893,19.166666666666668,17.53344157409433
store_4_item_21,23.736219656386535,7.8024673173568395,34.93333333333333,35.63396410392544
store_8_item_37,23.696815675805986,7.2826446178400435,32.166666666666664,31.23187199550082
store_1_item_27,23.680850773125602,3.9858889769955446,16.733333333333334,16.01764518712486
store_6_item_42,23.616717704455915,5.325948993149611,23.7,23.214751137779242
store_9_item_4,23.564165823546563,4.858283918854856,20.333333333333332,17.971619130040803
store_10_item_16,23.51606451434388,5.532186438420224,23.6,24.811123228154653
store_6_item_47,23.35596913176747,3.4801515674063035,15.366666666666667,14.00108917867429
store_5_item_19,23.327869495625688,5.870572981928811,25.533333333333335,26.609227025736654
store_5_item_26,23.324547975218255,6.561466945917858,29.733333333333334,32.096543472347705
